Title,Published_date,Views,Likes,Comments
Ukraine's Surrender: End of the War? Russia-Ukraine War Update | World Affairs,2024-04-17T15:00:19Z,26578,2749,127
Iran-Israel: From Allies to Enemies Explained in Detail | World Affairs,2024-04-17T12:45:00Z,17829,1121,70
US Imposes NEW Sanctions on IRAN? Israel Iran War | World Affairs,2024-04-17T10:00:00Z,49074,2279,119
US Reacts to PM Modi's BOLD Statement | World Affairs,2024-04-17T07:10:00Z,101038,7140,308
USA's Clever Move Against Venezuela | US Again Sanctions Venezuela Oil and Gas | World Affairs,2024-04-16T15:15:00Z,39475,2250,55
China's Diplomatic Strategy in the Middle East | IRAN-ISRAEL War Update | World Affairs,2024-04-16T12:50:00Z,73193,2918,201
Russia's BIG Attack on Ukraine | Nearly 900 Soldiers Killed | World Affairs,2024-04-16T07:05:00Z,145499,7715,171
Russia's Secret Document Leaked - Plan to Annex Belarus by 2030 | World Affairs,2024-04-16T04:30:13Z,63305,3228,145
Can Ukraine Snatch Crimea from Russia? Analysis by World Affairs,2024-04-15T15:00:57Z,21737,1141,71
INDIA's 'Diplomacy' Wins | Iran allows officials to meet 17 Indians on seized ship | World Affairs,2024-04-15T12:30:23Z,104599,6326,294
Allies & Rivals in the Israel-Iran Conflict | World Affairs,2024-04-15T10:05:00Z,117227,5354,247
IRAN ATTACKS ISRAEL 🤯| Iran launches Drone and Missile attack on Israel,2024-04-14T05:37:00Z,78635,3263,227
Can Israel Survive Against Iran’s attack? Israel’s Iron Dome | World Affairs,2024-04-13T15:15:04Z,107382,4701,414
Pro-Palestine Protestor Riddhi Patel Arrested | Who is Riddhi Patel? World Affairs,2024-04-13T13:00:30Z,111446,6402,1165
How Bihar Can Become India’s Growth Engine📈 #1 Indian State | World Affairs,2024-04-13T08:30:08Z,95749,5615,583
Huge Attack on Israel 😱 | Hezbollah launches Rockets into Israel | World Affairs,2024-04-13T06:00:08Z,84787,3804,193
Justin Trudeau Pulls Out Indian Staffers from Canadian Missions across India | World Affairs,2024-04-12T15:45:03Z,54661,2491,151
